"SubID","Decision","Speed","Question","Response"
"65","moral","Quick","MC2",7
"65","moral","Slow","MC2",1
"66","immoral","Quick","MC2",4
"66","immoral","Slow","MC2",1
"67","immoral","Quick","MC2",7
"67","immoral","Slow","MC2",1
"68","immoral","Quick","MC2",7
"68","immoral","Slow","MC2",1
"69","immoral","Quick","MC2",6
"69","immoral","Slow","MC2",2
"70","moral","Quick","MC2",7
"70","moral","Slow","MC2",1
"71","moral","Quick","MC2",5
"71","moral","Slow","MC2",4
"72","moral","Quick","MC2",7
"72","moral","Slow","MC2",4
"73","immoral","Quick","MC2",6
"73","immoral","Slow","MC2",3
"74","immoral","Quick","MC2",7
"74","immoral","Slow","MC2",1
"75","immoral","Quick","MC2",7
"75","immoral","Slow","MC2",2
"76","immoral","Quick","MC2",7
"76","immoral","Slow","MC2",4
"77","moral","Quick","MC2",7
"77","moral","Slow","MC2",1
"78","immoral","Quick","MC2",6
"78","immoral","Slow","MC2",2
"79","moral","Quick","MC2",7
"79","moral","Slow","MC2",2
"80","immoral","Quick","MC2",7
"80","immoral","Slow","MC2",3
"81","moral","Quick","MC2",7
"81","moral","Slow","MC2",1
"82","immoral","Quick","MC2",6
"82","immoral","Slow","MC2",2
"83","moral","Quick","MC2",7
"83","moral","Slow","MC2",1
"84","moral","Quick","MC2",7
"84","moral","Slow","MC2",3
"85","moral","Quick","MC2",6
"85","moral","Slow","MC2",3
"86","immoral","Quick","MC2",7
"86","immoral","Slow","MC2",1
"87","moral","Quick","MC2",6
"87","moral","Slow","MC2",2
"88","moral","Quick","MC2",6
"88","moral","Slow","MC2",2
"89","immoral","Quick","MC2",7
"89","immoral","Slow","MC2",1
"90","immoral","Quick","MC2",7
"90","immoral","Slow","MC2",4
"91","immoral","Quick","MC2",6
"91","immoral","Slow","MC2",2
"92","moral","Quick","MC2",6
"92","moral","Slow","MC2",2
"93","moral","Quick","MC2",4
"93","moral","Slow","MC2",2
"94","moral","Quick","MC2",7
"94","moral","Slow","MC2",2
"95","moral","Quick","MC2",6
"95","moral","Slow","MC2",5
"96","immoral","Quick","MC2",7
"96","immoral","Slow","MC2",1
"97","immoral","Quick","MC2",7
"97","immoral","Slow","MC2",1
"98","moral","Quick","MC2",6
"98","moral","Slow","MC2",2
"99","moral","Quick","MC2",7
"99","moral","Slow","MC2",1
"100","immoral","Quick","MC2",7
"100","immoral","Slow","MC2",1
"101","immoral","Quick","MC2",7
"101","immoral","Slow","MC2",3
"102","moral","Quick","MC2",6
"102","moral","Slow","MC2",3
